FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;VEHICLE DISTANCE IN METRES, AUTOBAHN/FREEWAY;;;1A;VEHICLE DISTANCE IN METRES, AUTOBAHN FREEWAY;DISTAUT;1052/17;1-4;O
13;TIME IN MINUTES BETWEEN CONVOYS;;;13A;TIME IN MINUTES BETWEEN CONVOYS;TBCONV;1072/27;1-2;O
14;TIME IN MINUTES BETWEEN PACKETS;;;14A;TIME IN MINUTES BETWEEN PACKETS;TBPACK;1072/28;1-2;O
15;POINT OF ORIGIN;;;15A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;POINT OF ORIGIN;;;15B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;POINT OF ORIGIN;;;15C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;POINT OF ORIGIN;;;15D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;POINT OF ORIGIN;;;15E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;POINT OF ORIGIN;;;15F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;POINT OF ORIGIN;;;15G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
16;ORIGINATION COUNTRY;;;16A;ORIGINATION COUNTRY;;1026/27;2-2;O
17;POINT OF DESTINATION;;;17A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;POINT OF DESTINATION;;;17B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;POINT OF DESTINATION;;;17C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;POINT OF DESTINATION;;;17D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;POINT OF DESTINATION;;;17E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;POINT OF DESTINATION;;;17F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;POINT OF DESTINATION;;;17G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
18;DESTINATION COUNTRY;;;18A;DESTINATION COUNTRY;;1026/28;2-2;O
19;START POINT;;;19A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;START POINT;;;19B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;START POINT;;;19C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;START POINT;;;19D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;START POINT;;;19E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;START POINT;;;19F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;START POINT;;;19G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
20;START POINT COUNTRY;;;20A;START POINT COUNTRY;;1026/29;2-2;O
21;SEQUENTIAL PRIORITY OF MOVE FROM START POINT;;;21A;SEQUENTIAL PRIORITY OF MOVE FROM START POINT;PRIOR;1494/6;1-68;O
22;RELEASE POINT;;;22A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;RELEASE POINT;;;22B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;RELEASE POINT;;;22C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;RELEASE POINT;;;22D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;RELEASE POINT;;;22E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;RELEASE POINT;;;22F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;RELEASE POINT;;;22G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
23;RELEASE POINT COUNTRY;;;23A;RELEASE POINT COUNTRY;;1026/30;2-2;O
24;CONTROL/CROSSING POINT;;;24A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O*
;CONTROL/CROSSING POINT;;;24B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;CONTROL/CROSSING POINT;;;24C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;CONTROL/CROSSING POINT;;;24D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;CONTROL/CROSSING POINT;;;24E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;CONTROL/CROSSING POINT;;;24F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;CONTROL/CROSSING POINT;;;24G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
25;CONTROL/CROSSING POINT COUNTRY;;;25A;CONTROL CROSSING POINT COUNTRY;;1026/31;2-2;O*
26;REMARKS CONTROL OR CROSSING POINT;;;26A;REMARKS;;1357/28;1-68;O*
27;LONG/SHORT HALTS;;;27A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O*
;LONG/SHORT HALTS;;;27B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LONG/SHORT HALTS;;;27C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LONG/SHORT HALTS;;;27D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LONG/SHORT HALTS;;;27E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LONG/SHORT HALTS;;;27F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;LONG/SHORT HALTS;;;27G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
28;HALT POINT COUNTRY;;;28A;HALT POINT COUNTRY;;1026/32;2-2;O*
29;DURATION OF LONG/SHORT HALTS;;;29A;DURATION OF LONG/SHORT HALTS;DURATION;2593;5-5;O*
30;REMARKS HALT;;;30A;REMARKS;;1357/28;1-68;O*
